ClaimID,ClaimantLocation,EventLocation,EventDate,ClaimantLatitude,ClaimantLongitude,EventLatitude,EventLongitude
"A2.2-0000000035","м. Чортків, Тернопільська область","Сумська область","23.06.2023-07.07.2023","49.0165315","25.7928886","50.7696518","34.3289305"
"A2.1-0000000036","м. Чортків, Тернопільська область #1","вул. Садова, 822, м. Лисичанськ, Луганська область","17.07.2023","49.0165315","25.7928886","48.9281439","38.3714404"
"A2.2-0000000037","м. Обухів, Київська область","м. Нова Каховка, Херсонська область #1","23.09.2024","50.1101633","30.6269696","46.7583404","33.3566678"
"A2.2-0000000038","м. Бердянськ, Запорізька область","вул. Лугова, 337, м. Біла Церква, Київська область","16.07.2022","46.7686605","36.7653961","49.7793522","30.1230329"
"A2.2-0000000039","вул. Паркова, 962, м. Охтирка, Сумська область","вул. Дніпровська, 595, м. Коломия, Івано-Франківська область","21.08.2023-22.08.2023","50.3065045","34.8899660","48.5477486","25.0647659"
"A1.1-0000000040","вул. Рівненська, 621, м. Ніжин, Чернігівська область","Миколаївська область","19.05.2025","51.0464747","31.8806289","47.3886032","31.9442334"
"A2.1-0000000041","м. Київ, Київська область","вул. Луганська, 737, м. Охтирка, Сумська область","03.04.2023-09.04.2023","50.3917398","30.3821700","50.2878985","34.8624078"
"A3.1-0000000042","вул. На Прикопі, 322, м. Цюрих, Швейцарія","вул. Морська, 922, м. Тернопіль, Тернопільська область","19.11.2023","47.3744489","8.5410422","49.6072645","25.4082094"
"A3.1-0000000043","вул. Привокзальна, 431, м. Хмельницький, Хмельницька область","вул. Луганська, 767, м. Обухів, Київська область","04.05.2025-09.05.2025","49.5314727","26.2066643","50.1101633","30.6269696"
"A3.1-0000000044","вул. Кільцева, 441, м. Червоноград, Львівська область","м. Сєвєродонецьк, Луганська область","17.08.2024","50.5796362","24.1774044","48.9339883","38.4967082"
"A2.1-0000000045","м. Херсон, Херсонська область","вул. Данила Галицького, 680, м. Червоноград, Львівська область","11.01.2024","46.6658351","32.5970254","50.5796362","24.1774044"
"A1.1-0000000046","м. Миргород, Полтавська область","вул. Пушкіна, 26, м. Бориспіль, Київська область","24.10.2024","49.9568658","33.6153865","50.3426900","30.9791800"
"A1.1-0000000047","м. Біла Церква, Київська область","м. Токмак, Запорізька область","08.07.2023","49.7558721","30.0905349","47.1908720","36.2197282"
"A2.1-0000000048","вул. Рівненська, 225, м. Луцьк, Волинська область","вул. Вишнева, 52, м. Березне, Рівненська область","30.10.2022","50.7431155","25.3636152","51.0020606","26.7588280"
"A3.1-0000000049","вул. Васильківська, 610, м. Шостка, Сумська область","вул. Гоголя, 835, м. Калуш, Івано-Франківська область","23.12.2024-30.12.2024","51.8643550","33.4728542","49.0278036","24.3630215"
"A3.1-0000000050","м. Нова Каховка, Херсонська область #2","вул. Ярослава Мудрого, 284, м. Бровари, Київська область","26.01.2025-03.02.2025","46.7583404","33.3566678","50.5009679","30.7816536"
"A2.1-0000000051","вул. Козацька, 279, м. Червоноград, Львівська область","вул. Лесі Українки, 142, м. Сарни, Рівненська область","18.04.2024","50.5796362","24.1774044","51.5754320","26.5698579"
"A2.1-0000000052","вул. Паркова, 556, м. Чортків, Тернопільська область","вул. Кільцева, 853, м. Чернігів, Чернігівська область","04.06.2025","49.0165315","25.7928886","51.5353114","31.2932719"
"A1.1-0000000053","м. Обухів, Київська область #1","вул. Центральна, 772, м. Ізюм, Харківська область","01.07.2024","50.3280154","30.5608617","49.1913721","37.2784125"
"A2.1-0000000054","вул. Соборна, 399, м. Чугуїв, Харківська область","вул. Морська, 170, м. Вараш, Рівненська область","12.11.2022-22.11.2022","49.8366260","36.6899391","51.3481736","25.8500623"
"A1.1-0000000055","вул. Лесі Українки, 659, м. Одеса, Одеська область","вул. Дніпровська, 52, м. Кобеляки, Полтавська область","26.12.2023","46.5640774","30.7785045","49.1447004","34.2068133"
"A2.1-0000000056","вул. Юності, 771, м. Обухів, Київська область","Закарпатська область","10.08.2022","50.1101633,30.6269696","48.2953664,23.4466092"
"A3.1-0000000057","вул. Маршалковська, 975, м. Тулуза, Франція","вул. Мечникова, 42, м. Івано-Франківськ, Івано-Франківська область","15.07.2023-19.07.2023","43.6044622","1.4442469","48.9257927","24.7002116"
"A1.1-0000000058","вул. Одеська, 118, м. Нова Каховка, Херсонська область","вул. Вишнева, 717, м. Кременчук, Полтавська область","20.03.2024","46.7583404","33.3566678","49.0847158","33.5083480"
"A2.1-0000000059","Миколаївська область #1","м. Житомир, Житомирська область #1","03.10.2022-13.10.2022","46.9896362","31.9478010","50.2538768","28.6633216"
"A1.1-0000000060","вул. Лугова, 965, м. Обухів, Київська область","м. Ужгород, Закарпатська область #2","06.07.2023","50.0960240","30.6184282","48.6389565","22.2719791"
"A1.1-0000000061","вул. Таращанська, 802, м. Тернопіль, Тернопільська область","вул. Рівненська, 678, м. Охтирка, Сумська область","26.12.2024","49.6072645","25.4082094","50.2878985","34.8624078"
"A2.2-0000000062","вул. Дамрак, 109, м. Вільнюс, Литва","вул. Ярослава Мудрого, 913, м. Бахмут, Донецька область","03.01.2023-10.01.2023","54.6870458","25.2829111","48.5927395","37.9688314"
"A2.1-0000000063","Закарпатська область #1","вул. Богдана Хмельницького, 477, м. Охтирка, Сумська область","27.08.2023","48.5249874","22.8745565","50.2878985","34.8624078"
"A2.2-0000000064","м. Черкаси, Черкаська область","вул. Козацька, 769, м. Долина, Івано-Франківська область","10.04.2024","49.4147708","32.0682996","48.9782308","23.9789588"
"A2.2-0000000065","вул. Гран-Віа, 500, м. Гельсінкі, Фінляндія","вул. Паркова, 287, м. Коломия, Івано-Франківська область","12.09.2023-21.09.2023","60.1674881","24.9427473","48.5294466","25.0477112"
"A1.1-0000000066","вул. Морська, 417, м. Конотоп, Сумська область","вул. Армійська, 488, м. Конотоп, Сумська область","25.11.2024","51.2485330","33.2203011","51.2485330","33.2203011"
"A3.1-0000000067","вул. Лугова, 709, м. Нікополь, Дніпропетровська область","вул. Богдана Хмельницького, 567, м. Боярка, Київська область","14.07.2024","47.5973974","34.3637371","50.3402513","30.2939902"
"A2.2-0000000068","вул. Дружби, 237, м. Миргород, Полтавська область","вул. Залізнична, 123, м. Біла Церква, Київська область","10.03.2023-14.03.2023","49.9672934","33.6367649","49.8149140","30.1062742"
"A2.1-0000000069","вул. Антоновича, 290, м. Шостка, Сумська область","Київська область","04.03.2024","51.8643550","33.4728542","50.1785950","30.4924884"
"A2.1-0000000070","м. Хмельницький, Хмельницька область","вул. Васильківська, 300, м. Вінниця, Вінницька область","09.11.2022","49.4196404","26.9793793","49.2336602","28.4750960"
"A3.1-0000000071","вул. Богдана Хмельницького, 491, м. Червоноград, Львівська область","вул. Шевченка, 259, м. Маріуполь, Донецька область","29.10.2024-31.10.2024","50.5796362","24.1774044","47.1158959","37.5295683"
"A1.1-0000000072","вул. Пушкіна, 153, м. Вінниця, Вінницька область","м. Ізмаїл, Одеська область","17.07.2023","49.2317050","28.4680756","45.3511307","28.8361514"
"A1.1-0000000073","вул. Кармелюка, 390, м. Нікополь, Дніпропетровська область","вул. Центральна, 881, м. Калуш, Івано-Франківська область","21.07.2024","47.6605603","34.6431183","49.0271830","24.3613567"
"A2.2-0000000074","вул. Кільцева дорога, 213, м. Кривий Ріг, Дніпропетровська область","вул. Одеська, 84, м. Коломия, Івано-Франківська область","14.02.2023","48.0273124","33.5009995","48.5477486","25.0647659"
"A1.1-0000000075","вул. Миру, 34, м. Нова Каховка, Херсонська область","вул. Армійська, 881, м. Червоноград, Львівська область","17.06.2023","46.7583404","33.3566678","50.5796362","24.1774044"
"A2.2-0000000076","вул. Рівненська, 118, м. Бориспіль, Київська область","вул. Юності, 847, м. Суми, Сумська область","26.06.2022","50.3512101","30.9507700","50.4189058","34.3408201"
"A2.1-0000000077","вул. Полтавська, 128, м. Червоноград, Львівська область","вул. Армійська, 413, м. Ізмаїл, Одеська область","14.12.2024-23.12.2024","50.5796362","24.1774044","45.3511307","28.8361514"
"A3.1-0000000078","вул. Доробок, 331, м. Стрий, Львівська область","вул. Лесі Українки, 235, м. Одеса, Одеська область","17.05.2025-27.05.2025","48.7816155","23.2506748","46.5640774","30.7785045"
"A1.1-0000000079","вул. Таращанська, 42, м. Мукачево, Закарпатська область","м. Краматорськ, Донецька область","17.08.2024","48.2953664","23.4466092","48.7429607","37.5887878"
"A2.2-0000000080","вул. Лесі Українки, 482, м. Чугуїв, Харківська область","вул. Залізнична, 687, м. Лисичанськ, Луганська область","19.01.2023","49.8466046","36.6862697","48.9108655","38.4526005"
"A2.2-0000000081","вул. Кільцева дорога, 564, м. Вараш, Рівненська область","вул. Залізнична, 259, м. Черкаси, Черкаська область","31.05.2024","51.3481736","25.8500623","49.3392735","31.8680075"
"A1.1-0000000082","вул. Шевченка, 193, м. Чортків, Тернопільська область","вул. Ярослава Мудрого, 453, м. Вознесенськ, Миколаївська область","16.04.2023-21.04.2023","49.0165315","25.7928886","47.8437393","31.1685761"
"A2.1-0000000083","вул. Січових Стрільців, 30, м. Чугуїв, Харківська область","Сумська область #1","22.11.2023-01.12.2023","49.8366260","36.6899391","50.3032183","34.8898634"
"A1.1-0000000084","вул. Вишнева, 970, м. Миколаїв, Миколаївська область","вул. Княгині Ольги, 956, м. Суми, Сумська область","01.01.2025-13.01.2025","47.0293998","31.9176564","51.2434827","33.2383040"
"A2.2-0000000085","вул. Козацька, 468, м. Нова Каховка, Херсонська область","вул. Привокзальна, 944, м. Токмак, Запорізька область","30.11.2022","46.7583404","33.3566678","47.2358371","35.7141701"
"A1.1-0000000086","м. Хуст, Закарпатська область","вул. Юності, 841, м. Первомайськ, Миколаївська область","28.10.2023","48.1830617","23.2500625","48.0013683","30.8025146"
"A3.1-0000000087","вул. Весняна, 341, м. Покровськ, Донецька область","вул. Спортивна, 467, м. Сарни, Рівненська область","17.03.2023-29.03.2023","48.2771086","37.1772482","51.5687223","26.5644435"
"A2.1-0000000088","вул. Грушевського, 326, м. Чортків, Тернопільська область","м. Обухів, Київська область #2","01.01.2023","49.0165315","25.7928886","50.3280154","30.5608617"
"A3.1-0000000089","вул. Незалежності, 896, м. Лисичанськ, Луганська область","м. Кривий Ріг, Дніпропетровська область #1","16.09.2024","48.8702863","38.4791788","47.6789774","33.1615019"
"A1.1-0000000090","вул. Бандери, 481, м. Суми, Сумська область","м. Коломия, Івано-Франківська область","18.05.2024","50.9176909","34.7690088","48.5477486","25.0647659"
"A1.1-0000000091","м. Охтирка, Сумська область","вул. Ярослава Мудрого, 736, м. Ніжин, Чернігівська область","19.11.2024-03.12.2024","50.2878985","34.8624078","51.0464747","31.8806289"
"A1.1-0000000092","вул. Гетьмана, 765, м. Червоноград, Львівська область","вул. Кільцева дорога, 649, м. Кривий Ріг, Дніпропетровська область","17.09.2022-25.09.2022","50.5796362","24.1774044","48.0273124","33.5009995"
"A2.1-0000000093","Запорізька область #1","вул. Миру, 368, м. Чернігів, Чернігівська область","19.12.2022","47.8705708","35.3030530","51.4903243","31.2562034"
"A2.1-0000000094","вул. Франка, 180, м. Маріуполь, Донецька область","вул. Гоголя, 700, м. Обухів, Київська область","02.06.2025","47.1110461","37.5368212","50.0974884","30.6248703"
"A2.1-0000000095","вул. Дружби, 683, м. Золотоноша, Черкаська область","вул. Миру, 694, м. Кобеляки, Полтавська область","25.07.2022","49.6578698","32.0335352","49.1584298","34.1913422"
"A3.1-0000000096","Одеська область","вул. Армійська, 257, м. Новоград-Волинський, Житомирська область","04.11.2023","46.1147226","29.9567193","50.5917622","27.6066973"
"A2.1-0000000097","м. Луцьк, Волинська область #1","вул. Таращанська, 303, м. Ізюм, Харківська область","21.10.2023-22.10.2023","50.7472065","25.3265463","49.1913721","37.2784125"
"A3.1-0000000098","вул. Антоновича, 764, м. Вінниця, Вінницька область","вул. Гетьмана, 622, м. Червоноград, Львівська область","18.05.2023-29.05.2023","49.2412519","28.5030893","50.5796362","24.1774044"
"A2.1-0000000099","вул. Ярослава Мудрого, 100, м. Чернівці, Чернівецька область","Запорізька область #2","14.08.2024","48.3463182","25.9555704","47.8829137","35.0182057"
"A1.1-0000000100","м. Черкаси, Черкаська область #1","Луганська область #1","18.02.2023-22.02.2023","49.4147708","32.0682996","48.5705056","39.3434687"
"A2.1-0000000101","м. Бахмут, Донецька область #1","вул. Франка, 264, м. Мукачево, Закарпатська область","06.11.2024-19.11.2024","48.5927395","37.9688314","48.2953664","23.4466092"
"A2.2-0000000102","вул. Вишнева, 987, м. Миколаїв, Миколаївська область","вул. Луганська, 742, м. Нікополь, Дніпропетровська область","17.05.2024","47.0293998","31.9176564","47.6530517","34.6417462"
"A2.2-0000000103","вул. Маршалковська, 271, м. Таллінн, Естонія","вул. Молодіжна, 689, м. Золотоноша, Черкаська область","14.08.2023-24.08.2023","59.4372155","24.7453688","49.6842939","32.0616232"
"A3.1-0000000104","Волинська область","вул. Соборна, 635, м. Нова Каховка, Херсонська область","18.04.2025-24.04.2025","51.5451167","24.6627893","46.7444690","33.3521231"
"A2.1-0000000105","вул. Армійська, 310, м. Кобеляки, Полтавська область","вул. Перемоги, 47, м. Миколаїв, Миколаївська область","09.11.2023-17.11.2023","49.1433333","34.2002778","47.6641472","31.8333054"
"A1.1-0000000106","вул. Гран-Віа, 398, м. Тулуза, Франція","вул. Садова, 602, м. Сарни, Рівненська область","06.01.2023-13.01.2023","43.6044622","1.4442469","51.3243218","26.5942519"
"A1.1-0000000107","вул. Грушевського, 707, м. Дрогобич, Львівська область","вул. Полтавська, 974, м. Калуш, Івано-Франківська область","07.03.2024","49.3513996","23.5061662","49.0271830","24.3613567"
"A1.1-0000000108","вул. Шевченка, 408, м. Ізюм, Харківська область","вул. Вишнева, 94, м. Тернопіль, Тернопільська область","08.04.2022","49.2191462","37.3171294","49.5632695","25.5668137"
"A1.1-0000000109","вул. Таращанська, 211, м. Хмельницький, Хмельницька область","вул. Мазепи, 222, м. Камʼянець-Подільський, Хмельницька область","16.06.2023-22.06.2023","49.6542206","26.9885351","48.6836514","26.5750971"
"A2.1-0000000110","вул. Пушкіна, 134, м. Дрогобич, Львівська область","вул. Січових Стрільців, 677, м. Краматорськ, Донецька область","20.11.2022-21.11.2022","49.3513996","23.5061662","48.7451010","37.5916769"
"A2.2-0000000111","вул. Соборна, 179, м. Сєвєродонецьк, Луганська область","вул. Доробок, 432, м. Хмельницький, Хмельницька область","04.07.2022","48.9339883","38.4967082","49.4196404","26.9793793"
"A3.1-0000000112","вул. Полтавська, 516, м. Луцьк, Волинська область","вул. Морська, 803, м. Запоріжжя, Запорізька область","26.01.2025-31.01.2025","50.7558816","25.3469633","47.8320180","35.1401670"
"A3.1-0000000113","вул. Лугова, 437, м. Покровськ, Донецька область","вул. Курортна, 932, м. Чугуїв, Харківська область","08.08.2022","48.2771086","37.1772482","49.8366260","36.6899391"
"A2.2-0000000114","вул. Гоголя, 649, м. Дрогобич, Львівська область","вул. Спортивна, 612, м. Сєвєродонецьк, Луганська область","10.09.2024","49.3549067","23.5009061","48.9339883","38.4967082"
"A3.1-0000000115","вул. Корсо, 667, м. Амстердам, Нідерланди","м. Кременчук, Полтавська область","06.06.2023","52.3730796","4.8924534","49.0847158","33.5083480"
"A3.1-0000000116","вул. Морська, 98, м. Хуст, Закарпатська область","вул. Одеська, 262, м. Ніжин, Чернігівська область","02.01.2023","48.1830617","23.2500625","51.0464747","31.8806289"
"A3.1-0000000117","вул. Унтер-ден-Лінден, 443, м. Барселона, Іспанія","вул. Перемоги, 570, м. Боярка, Київська область","19.04.2025","41.3825802","2.1770730","50.3356709","30.2847595"
"A2.2-0000000118","вул. Морська, 53, м. Новоград-Волинський, Житомирська область","Полтавська область","22.05.2025","50.5966611","27.6012241","49.8607809","33.7498787"
"A2.1-0000000119","вул. Весняна, 866, м. Луцьк, Волинська область","вул. Кільцева дорога, 286, м. Миколаїв, Миколаївська область","21.07.2024","50.6920400","25.3073080","46.9360832","32.0591649"
"A1.1-0000000120","вул. Соборна, 185, м. Мукачево, Закарпатська область","вул. Паркова, 360, м. Миргород, Полтавська область","14.12.2022","48.2953664","23.4466092","49.9568658","33.6153865"
"A3.1-0000000121","вул. Унтер-ден-Лінден, 765, м. Берлін, Німеччина","вул. Садова, 465, м. Обухів, Київська область","22.03.2024","52.5044048","13.3328810","50.0860419","30.6135160"
"A2.2-0000000122","м. Полтава, Полтавська область #1","м. Суми, Сумська область","05.06.2022","49.5694858","34.6608531","50.8841077","34.7802288"
"A1.1-0000000123","вул. Антоновича, 453, м. Чугуїв, Харківська область","вул. Кільцева дорога, 525, м. Кременчук, Полтавська область","23.07.2024","49.8366260","36.6899391","49.0847158","33.5083480"
"A1.1-0000000124","вул. Кармелюка, 684, м. Чугуїв, Харківська область","вул. Лугова, 614, м. Нікополь, Дніпропетровська область","18.04.2023","49.8366260","36.6899391","47.5973974","34.3637371"
"A2.2-0000000125","м. Павлоград, Дніпропетровська область","вул. Хрещатик, 510, м. Тернопіль, Тернопільська область","18.02.2023-21.02.2023","48.5578194","35.9862474","49.6072645","25.4082094"
"A3.1-0000000126","вул. Бандери, 407, м. Ізюм, Харківська область","м. Запоріжжя, Запорізька область","22.09.2024","49.1891083","37.2836043","47.8320180","35.1401670"
"A1.1-0000000127","вул. Курортна, 656, м. Вараш, Рівненська область","вул. Лугова, 22, м. Миколаїв, Миколаївська область","10.02.2023-23.02.2023","51.3481736","25.8500623","47.0243817","31.9740504"
"A3.1-0000000128","Черкаська область","вул. Козацька, 447, м. Луцьк, Волинська область","01.02.2025","49.1460165","31.2271744","50.7544660","25.3833025"
"A1.1-0000000129","вул. Гетьмана, 342, м. Словʼянськ, Донецька область","м. Ужгород, Закарпатська область #3","15.10.2022","48.8586421","37.5963609","48.6389565","22.2719791"
"A2.1-0000000130","вул. Козацька, 106, м. Рівне, Рівненська область","вул. Дніпровська, 617, м. Бориспіль, Київська область","28.07.2022","50.6250815","26.2649323","50.3512101","30.9507700"
"A2.1-0000000131","вул. Кільцева дорога, 578, м. Кобеляки, Полтавська область","м. Долина, Івано-Франківська область","25.04.2025","49.1433333","34.2002778","48.9782308","23.9789588"
"A2.2-0000000132","вул. Полтавська, 70, м. Суми, Сумська область","вул. Юності, 606, м. Ізмаїл, Одеська область","29.12.2024","50.8985901","34.8292605","45.6380184","29.3808568"
"A1.1-0000000133","вул. Молодіжна, 852, м. Чернігів, Чернігівська область","вул. Гоголя, 609, м. Черкаси, Черкаська область","28.09.2024","51.4943269","31.1422974","49.4225714","32.0931307"
"A1.1-0000000134","м. Біла Церква, Київська область #1","вул. Данила Галицького, 155, м. Нова Каховка, Херсонська область","03.09.2024-05.09.2024","49.8390527","30.1547601","46.7583404","33.3566678"
"A2.2-0000000135","вул. Грушевського, 254, м. Краматорськ, Донецька область","м. Калуш, Івано-Франківська область","15.01.2023","48.6199192","37.5648408","49.0271830","24.3613567"
"A2.2-0000000136","вул. Паркова, 696, м. Чортків, Тернопільська область","вул. Бандери, 338, м. Лисичанськ, Луганська область","25.04.2024","49.0165315","25.7928886","48.9172670","38.4285981"
"A2.2-0000000137","м. Суми, Сумська область #1","вул. Весняна, 318, м. Рівне, Рівненська область","06.05.2024-09.05.2024","50.8841077","34.7802288","50.5830993","26.2639980"
"A1.1-0000000138","вул. Перемоги, 687, м. Лисичанськ, Луганська область","м. Шостка, Сумська область","10.07.2024","48.8826189","38.4638629","51.8643550","33.4728542"
"A2.2-0000000139","вул. Гран-Віа, 974, м. Мюнхен, Німеччина","вул. Привокзальна, 232, м. Чугуїв, Харківська область","07.01.2023-09.01.2023","48.1371079","11.5753822","49.8366260","36.6899391"
"A2.2-0000000140","вул. Доробок, 905, м. Сарни, Рівненська область","вул. Гоголя, 135, м. Словʼянськ, Донецька область","05.01.2023","51.3193355","26.6293164","48.8604577","37.6102402"
"A2.1-0000000141","вул. Морська, 449, м. Херсон, Херсонська область","вул. Луганська, 737, м. Бахмут, Донецька область","21.08.2024","46.6316481","32.6211438","48.5927395","37.9688314"
"A2.2-0000000142","м. Бердянськ, Запорізька область #1","вул. Богдана Хмельницького, 926, м. Миргород, Полтавська область","18.03.2024-29.03.2024","46.7686605","36.7653961","49.9611354","33.6243659"
"A3.1-0000000143","вул. Данила Галицького, 541, м. Обухів, Київська область","вул. Привокзальна, 821, м. Житомир, Житомирська область","21.07.2023","50.1101633","30.6269696","50.1081068","28.6670602"
"A1.1-0000000144","м. Луцьк, Волинська область #2","м. Березне, Рівненська область","30.09.2023-02.10.2023","50.7459672","25.3237834","51.0035653","26.7524487"
"A2.1-0000000145","Рівненська область","м. Черкаси, Черкаська область #2","24.05.2023-07.06.2023","51.2074112","26.5208033","49.4147708","32.0682996"
"A3.1-0000000146","Закарпатська область #2","вул. Молодіжна, 242, м. Первомайськ, Миколаївська область","10.08.2022","48.5944952","22.3053639","48.0457450","30.8475997"
"A2.2-0000000147","вул. Курортна, 666, м. Кривий Ріг, Дніпропетровська область","вул. Перемоги, 40, м. Рівне, Рівненська область","18.10.2024","48.0273124","33.5009995","50.6141879","26.2519680"
"A2.1-0000000148","вул. Лесі Українки, 20, м. Київ, Київська область","вул. Васильківська, 963, м. Суми, Сумська область","08.02.2025-15.02.2025","50.5021010","30.7473728","50.8841077","34.7802288"
"A1.1-0000000149","вул. Шевченка, 245, м. Тернопіль, Тернопільська область","вул. Бандери, 114, м. Золотоноша, Черкаська область","13.12.2024-23.12.2024","49.5493427","25.5978588","49.6650309","32.0264491"
